backend,bandwidth_hz,rate,channel,snr_db,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
sim,2300,,awgn,8.0,+/-8dB/60s,24000,264.5,725.9,2208.7,0.329,0,6,5,21,37,212,27,9,0,1,0.1
sim,2300,,awgn,8.0,+/-8dB/60s,24000,251.9,762.1,2208.7,0.345,0,6,5,20,34,203,25,16,0,1,0.0
sim,2300,,awgn,14.0,+/-8dB/60s,24000,120.6,1591.5,4440.2,0.358,0,10,8,8,16,96,12,2,0,1,0.0
sim,2300,,awgn,14.0,+/-8dB/60s,24000,120.6,1591.5,4440.2,0.358,0,10,8,8,16,96,10,4,0,1,0.0
sim,2300,,poor,8.0,+/-8dB/60s,24000,692.9,277.1,1464.9,0.189,0,5,1,46,94,556,70,32,4,1,0.1
sim,2300,,poor,8.0,+/-8dB/60s,24000,616.1,311.6,1464.9,0.213,0,6,2,44,84,499,76,35,1,1,0.1
sim,2300,,poor,14.0,+/-8dB/60s,24000,223.6,858.8,2952.6,0.291,0,8,3,20,30,180,34,13,0,1,0.0
sim,2300,,poor,14.0,+/-8dB/60s,24000,192.1,999.7,2952.6,0.339,0,8,5,15,26,154,28,16,0,1,0.0
