backend,bandwidth_hz,rate,channel,snr_db,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
phy,2300,,awgn,8.0,,4000,34.5,927.6,2208.7,0.42,3,5,5,1,5,25,0,0,0,1,15.0
phy,2300,,awgn,14.0,,4000,20.8,1535.1,4440.2,0.346,5,9,9,1,3,14,0,0,0,1,8.1
