policy,link,bandwidth_hz,channel,snr_db,pipe,floor_cap,first_trial,sessions,connected,lines,delivered,lost,drops,stalls,median_s,p90_s,mean_s,reply_median_s,reply_p90_s,follow_up_median_s,follow_up_p90_s,file_bytes,file_median_s,keyed_per_line_s,duty,polls_per_line,turns_per_line,requests_per_line,wall_s
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,moderate,0.0,fading,1,0,30,30,457,447,10,2,0,10.7,22.9,12.6,10.7,18.0,19.7,27.9,0,,19.8,0.691,1.094,1.309,0.197,2.5
base,,500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,9.8,17.3,10.3,11.1,17.7,3.2,5.7,0,,7.37,0.275,1.775,0.823,0.0,3.0
keepalive5,keepalive_s=5.0,500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,7.5,13.5,8.2,8.5,14.1,3.2,6.3,0,,8.32,0.336,2.943,0.818,0.0,3.3
handover,handover=always,500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,4.2,11.4,5.4,3.2,6.7,10.7,18.8,0,,6.75,0.308,2.046,1.188,0.0,2.8
handover+keepalive5,"handover=always,keepalive_s=5.0",500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,4.2,9.3,4.8,3.2,6.3,9.1,13.8,0,,7.62,0.357,3.147,1.197,0.0,2.9
request,chat=True,500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,5.1,10.4,6.0,5.1,11.4,3.2,5.6,0,,6.85,0.305,1.053,0.814,0.74,2.4
handover+request,"chat=True,handover=always",500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,3.2,7.2,4.0,3.2,6.3,5.1,11.3,0,,6.18,0.301,1.871,1.206,0.214,2.6
ordinary-handover+request,"chat=True,handover=ordinary",500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,3.2,7.2,4.0,3.2,6.3,5.1,11.3,0,,6.18,0.301,1.871,1.206,0.214,2.4
request+keepalive20,"chat=True,keepalive_s=20.0",500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,5.1,11.4,6.2,5.1,11.4,3.2,6.1,0,,6.47,0.285,0.396,0.812,0.764,2.0
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,moderate,6.0,fading,1,0,30,30,457,436,21,2,0,3.2,6.3,4.1,3.2,6.2,5.1,13.0,0,,5.75,0.291,1.23,1.171,0.201,2.0
base,,500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,7.3,12.6,7.4,8.4,12.8,2.1,4.2,0,,4.42,0.185,1.764,0.796,0.0,2.8
keepalive5,keepalive_s=5.0,500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,5.5,8.4,5.3,6.1,8.6,2.1,4.2,0,,5.33,0.244,2.954,0.796,0.0,3.2
handover,handover=always,500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,8.7,3.5,2.1,4.2,8.2,12.1,0,,4.57,0.228,2.039,1.16,0.0,2.7
handover+keepalive5,"handover=always,keepalive_s=5.0",500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,6.6,3.0,2.1,4.2,6.1,8.6,0,,5.51,0.282,3.136,1.16,0.0,2.3
request,chat=True,500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,3.0,5.1,3.0,3.0,5.1,1.1,4.2,0,,4.01,0.205,1.048,0.799,0.748,1.7
handover+request,"chat=True,handover=always",500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,4.2,2.3,2.1,3.6,3.0,5.1,0,,4.5,0.239,1.836,1.16,0.221,1.8
ordinary-handover+request,"chat=True,handover=ordinary",500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,4.2,2.3,2.1,3.6,3.0,5.1,0,,4.5,0.239,1.836,1.16,0.221,1.8
request+keepalive20,"chat=True,keepalive_s=20.0",500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.4,2.9,3.0,5.1,2.1,3.1,0,,3.4,0.175,0.359,0.796,0.775,1.4
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,4.2,2.3,2.1,4.2,3.0,5.1,0,,4.01,0.213,1.212,1.162,0.219,1.5
base,,500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,32.3,49.3,33.2,35.2,51.7,20.3,31.0,0,,34.77,0.699,1.298,0.796,0.0,4.3
keepalive5,keepalive_s=5.0,500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,30.8,44.8,31.2,32.5,47.1,19.8,36.4,0,,37.33,0.783,1.716,0.796,0.0,4.5
handover,handover=always,500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,25.1,41.2,25.6,21.9,36.6,34.7,47.9,0,,35.32,0.838,1.258,1.16,0.0,4.1
handover+keepalive5,"handover=always,keepalive_s=5.0",500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,24.4,38.6,25.0,21.6,37.3,33.3,44.9,0,,36.53,0.879,1.438,1.16,0.0,3.7
request,chat=True,500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,26.8,42.8,27.3,27.9,42.8,20.3,31.0,0,,32.87,0.751,0.646,0.796,0.707,3.4
handover+request,"chat=True,handover=always",500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,22.5,36.4,23.9,21.5,36.4,28.1,42.8,0,,34.65,0.856,1.118,1.162,0.164,3.3
ordinary-handover+request,"chat=True,handover=ordinary",500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,26.8,42.8,27.3,27.9,42.8,20.3,31.0,0,,32.87,0.751,0.646,0.796,0.707,4.3
request+keepalive20,"chat=True,keepalive_s=20.0",500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,26.7,42.8,27.2,27.9,42.8,18.1,35.4,0,,30.34,0.694,0.276,0.796,0.7,4.1
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,21.5,36.4,23.1,21.5,36.4,27.9,42.8,0,,33.32,0.84,0.873,1.162,0.177,4.3
base,,500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,26.8,37.6,25.4,28.4,38.5,10.7,20.3,0,,27.11,0.647,1.298,0.796,0.0,3.4
keepalive5,keepalive_s=5.0,500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,23.9,33.8,23.6,25.7,34.2,10.7,20.3,0,,29.9,0.746,1.713,0.796,0.0,3.4
handover,handover=always,500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,14.5,31.1,16.6,11.6,23.1,30.0,38.9,0,,26.41,0.798,1.258,1.16,0.0,2.9
handover+keepalive5,"handover=always,keepalive_s=5.0",500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,15.1,27.9,16.4,12.1,22.5,27.5,37.2,0,,28.02,0.851,1.438,1.16,0.0,3.8
request,chat=True,500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,18.6,27.9,19.3,22.5,28.7,10.7,20.3,0,,25.11,0.7,0.648,0.796,0.707,3.6
handover+request,"chat=True,handover=always",500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,14.9,25.7,15.4,12.6,21.5,22.7,31.1,0,,26.2,0.821,1.12,1.16,0.164,3.7
ordinary-handover+request,"chat=True,handover=ordinary",500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,18.6,27.9,19.3,22.5,28.7,10.7,20.3,0,,25.11,0.7,0.648,0.796,0.707,3.9
request+keepalive20,"chat=True,keepalive_s=20.0",500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,17.6,27.9,19.2,22.5,27.9,10.7,19.9,0,,22.56,0.631,0.278,0.796,0.7,3.5
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,12.9,22.6,14.2,10.7,20.3,22.1,28.0,0,,24.49,0.798,0.873,1.16,0.177,3.6
base,,500,poor,0.0,fading,1,0,30,30,457,441,16,1,0,17.3,32.9,18.6,20.5,34.2,6.3,11.5,0,,16.69,0.492,1.845,0.882,0.0,4.9
keepalive5,keepalive_s=5.0,500,poor,0.0,fading,1,0,30,30,457,450,7,1,0,15.0,30.1,16.2,16.9,31.2,6.0,12.7,0,,17.58,0.545,2.877,0.95,0.0,5.7
handover,handover=always,500,poor,0.0,fading,1,0,30,30,457,419,38,3,0,10.1,25.9,12.6,8.4,18.8,24.2,35.8,0,,16.6,0.62,1.847,1.33,0.0,4.5
handover+keepalive5,"handover=always,keepalive_s=5.0",500,poor,0.0,fading,1,0,30,30,457,457,0,0,0,10.5,22.8,12.0,8.9,17.1,19.2,29.5,0,,19.56,0.686,2.416,1.407,0.0,5.1
request,chat=True,500,poor,0.0,fading,1,0,30,30,457,451,6,1,0,12.8,26.1,14.4,15.7,27.5,5.8,11.3,0,,16.01,0.524,1.201,0.934,0.726,4.9
handover+request,"chat=True,handover=always",500,poor,0.0,fading,1,0,30,30,457,433,24,2,0,9.8,22.5,11.3,8.4,17.6,17.1,29.4,0,,17.19,0.653,1.611,1.359,0.186,4.5
ordinary-handover+request,"chat=True,handover=ordinary",500,poor,0.0,fading,1,0,30,30,457,439,18,1,0,10.8,24.9,13.1,10.7,24.5,13.5,26.7,0,,17.99,0.631,1.602,1.298,0.33,4.2
request+keepalive20,"chat=True,keepalive_s=20.0",500,poor,0.0,fading,1,0,30,30,457,457,0,0,0,14.4,27.9,15.6,17.0,28.6,6.3,12.6,0,,15.91,0.495,0.486,0.937,0.735,4.1
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,poor,0.0,fading,1,0,30,30,457,442,15,2,0,10.0,20.7,11.1,8.4,17.9,16.9,25.1,0,,16.55,0.618,1.101,1.361,0.179,4.0
base,,500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,8.8,15.0,8.9,10.1,15.4,3.1,5.3,0,,5.97,0.235,1.764,0.812,0.0,3.6
keepalive5,keepalive_s=5.0,500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,6.7,11.5,6.9,7.6,11.9,3.1,5.3,0,,6.89,0.294,2.985,0.805,0.0,4.2
handover,handover=always,500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,3.2,10.1,4.6,3.2,5.3,9.8,15.0,0,,5.87,0.278,2.048,1.186,0.0,3.5
handover+keepalive5,"handover=always,keepalive_s=5.0",500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,3.2,8.0,4.1,3.2,5.3,7.7,10.7,0,,6.76,0.328,3.147,1.184,0.0,4.1
request,chat=True,500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,4.1,7.7,4.7,4.1,9.1,2.8,5.0,0,,5.56,0.262,1.05,0.821,0.748,3.4
handover+request,"chat=True,handover=always",500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,3.2,6.3,3.7,3.2,5.3,5.1,9.6,0,,5.96,0.294,1.849,1.188,0.219,3.5
ordinary-handover+request,"chat=True,handover=ordinary",500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,3.2,6.3,3.7,3.2,5.3,5.1,9.6,0,,5.96,0.294,1.849,1.188,0.219,3.0
request+keepalive20,"chat=True,keepalive_s=20.0",500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,4.1,9.3,5.0,4.8,9.3,3.1,5.3,0,,5.27,0.245,0.381,0.807,0.772,2.4
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,poor,6.0,fading,1,0,30,30,457,436,21,2,0,3.2,6.2,3.7,3.1,5.3,5.1,11.5,0,,5.06,0.262,1.19,1.151,0.208,2.6
base,,500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,7.1,12.4,7.0,8.0,12.6,1.1,3.1,0,,4.11,0.175,1.761,0.796,0.0,2.9
keepalive5,keepalive_s=5.0,500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,4.9,8.4,5.0,5.8,8.6,1.1,3.2,0,,5.11,0.237,2.954,0.796,0.0,3.1
handover,handover=always,500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,8.8,3.3,1.9,4.2,8.2,11.9,0,,4.49,0.226,2.037,1.162,0.0,2.8
handover+keepalive5,"handover=always,keepalive_s=5.0",500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,6.0,2.9,2.0,4.1,5.7,8.3,0,,5.44,0.281,3.125,1.162,0.0,3.4
request,chat=True,500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.1,2.8,3.0,4.3,1.4,3.1,0,,3.84,0.199,1.044,0.796,0.746,2.5
handover+request,"chat=True,handover=always",500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,4.1,2.2,1.9,4.0,3.0,4.4,0,,4.41,0.236,1.838,1.16,0.219,2.8
ordinary-handover+request,"chat=True,handover=ordinary",500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,4.1,2.2,1.9,4.0,3.0,4.4,0,,4.41,0.236,1.838,1.16,0.219,2.6
request+keepalive20,"chat=True,keepalive_s=20.0",500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.1,2.6,3.0,4.1,1.1,3.1,0,,3.19,0.166,0.361,0.796,0.772,2.0
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,2.1,3.4,2.1,1.5,3.2,3.0,4.1,0,,3.88,0.208,1.212,1.16,0.219,2.2
request-without-hold,"chat=True,hold=False",2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,27.9,44.5,27.2,29.9,44.9,10.7,16.1,0,,32.44,0.741,0.963,0.796,0.707,1.3
request-without-hold,"chat=True,hold=False",2300,awgn,-6.0,fading,1,0,30,30,457,457,0,0,0,14.5,25.3,15.5,17.1,28.1,5.4,9.6,0,,20.83,0.65,0.963,0.796,0.707,1.0
request-without-hold,"chat=True,hold=False",2300,awgn,0.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.5,3.4,3.0,4.6,2.1,3.2,0,,4.6,0.231,1.074,0.796,0.748,1.2
request-without-hold,"chat=True,hold=False",2300,awgn,6.0,fading,1,0,30,30,457,457,0,0,0,2.0,3.4,2.4,2.6,3.6,1.1,1.2,0,,3.47,0.183,1.07,0.796,0.748,1.1
request-without-hold,"chat=True,hold=False",2300,awgn,12.0,fading,1,0,30,30,457,457,0,0,0,2.0,2.5,2.0,2.0,2.7,1.1,1.1,0,,3.05,0.165,1.07,0.796,0.748,1.1
request-without-hold,"chat=True,hold=False",2300,good,-12.0,fading,1,0,30,30,457,457,0,0,0,34.4,59.9,38.1,37.0,63.6,26.8,47.1,0,,42.97,0.787,1.315,0.888,0.648,9.9
request-without-hold,"chat=True,hold=False",2300,good,-6.0,fading,1,0,30,30,457,429,28,2,0,17.6,33.1,20.2,21.1,33.9,7.5,16.3,0,,23.85,0.691,0.954,0.755,0.659,6.3
request-without-hold,"chat=True,hold=False",2300,good,0.0,fading,1,0,30,30,457,457,0,0,0,8.1,19.7,10.0,10.7,20.0,5.3,8.3,0,,12.59,0.474,1.221,0.807,0.711,5.6
request-without-hold,"chat=True,hold=False",2300,good,6.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.6,3.0,3.0,4.8,1.1,3.1,0,,3.97,0.203,1.081,0.799,0.753,4.5
request-without-hold,"chat=True,hold=False",2300,good,12.0,fading,1,0,30,30,457,457,0,0,0,2.0,3.5,2.2,2.0,4.0,1.1,3.1,0,,3.24,0.173,1.07,0.796,0.748,3.9
request-without-hold,"chat=True,hold=False",2300,moderate,-12.0,fading,1,0,30,30,457,457,0,0,0,30.2,45.6,30.7,32.1,46.5,17.0,36.4,0,,35.72,0.756,1.022,0.814,0.696,5.8
request-without-hold,"chat=True,hold=False",2300,moderate,-6.0,fading,1,0,30,30,457,457,0,0,0,17.1,27.5,16.5,17.1,28.8,5.4,14.9,0,,21.8,0.659,0.963,0.796,0.707,3.9
request-without-hold,"chat=True,hold=False",2300,moderate,0.0,fading,1,0,30,30,457,457,0,0,0,6.3,17.9,8.9,7.4,19.5,5.1,6.3,0,,10.86,0.427,1.127,0.838,0.74,3.9
request-without-hold,"chat=True,hold=False",2300,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.2,2.9,3.0,4.5,1.1,3.1,0,,3.89,0.2,1.074,0.799,0.751,3.1
request-without-hold,"chat=True,hold=False",2300,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,2.0,3.1,2.1,2.0,3.4,1.1,3.1,0,,3.15,0.169,1.07,0.796,0.748,3.0
request-without-hold,"chat=True,hold=False",2300,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,27.9,44.7,28.5,30.0,45.0,16.1,29.4,0,,33.59,0.746,0.969,0.799,0.707,5.8
request-without-hold,"chat=True,hold=False",2300,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,17.1,28.7,17.2,17.2,29.1,5.6,15.0,0,,22.47,0.666,0.963,0.796,0.707,4.4
request-without-hold,"chat=True,hold=False",2300,poor,0.0,fading,1,0,30,30,457,457,0,0,0,6.1,16.4,7.8,6.3,17.2,3.9,5.9,0,,9.13,0.376,1.182,0.867,0.751,4.3
request-without-hold,"chat=True,hold=False",2300,poor,6.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.1,2.7,3.0,4.1,1.1,3.1,0,,3.78,0.196,1.072,0.796,0.751,3.4
request-without-hold,"chat=True,hold=False",2300,poor,12.0,fading,1,0,30,30,457,457,0,0,0,2.0,3.2,2.2,2.0,3.4,1.1,3.1,0,,3.22,0.172,1.07,0.796,0.748,2.8
request-without-hold,"chat=True,hold=False",500,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,27.9,44.5,27.7,29.9,44.9,14.2,21.5,0,,32.94,0.744,0.963,0.796,0.707,1.5
request-without-hold,"chat=True,hold=False",500,awgn,-6.0,fading,1,0,30,30,457,457,0,0,0,20.6,32.8,20.8,22.5,34.3,9.6,10.9,0,,26.08,0.699,0.963,0.796,0.707,1.2
request-without-hold,"chat=True,hold=False",500,awgn,0.0,fading,1,0,30,30,457,457,0,0,0,6.7,10.4,6.8,7.2,10.4,3.2,4.2,0,,7.66,0.328,1.07,0.796,0.748,1.5
request-without-hold,"chat=True,hold=False",500,awgn,6.0,fading,1,0,30,30,457,457,0,0,0,3.0,5.1,3.4,4.1,5.1,1.8,2.1,0,,4.43,0.223,1.07,0.796,0.748,1.2
request-without-hold,"chat=True,hold=False",500,awgn,12.0,fading,1,0,30,30,457,457,0,0,0,2.0,3.4,2.4,3.0,3.5,1.1,1.9,0,,3.47,0.183,1.07,0.796,0.748,1.0
request-without-hold,"chat=True,hold=False",500,good,-12.0,fading,1,0,30,30,457,457,0,0,0,34.2,60.3,37.7,37.4,63.6,22.1,47.1,0,,42.59,0.786,1.298,0.884,0.641,9.8
request-without-hold,"chat=True,hold=False",500,good,-6.0,fading,1,0,30,30,457,434,23,2,0,22.5,38.3,24.8,25.3,41.1,11.2,25.3,0,,28.33,0.717,0.998,0.77,0.659,6.8
request-without-hold,"chat=True,hold=False",500,good,0.0,fading,1,0,30,30,457,440,17,2,0,15.6,29.4,16.4,17.1,31.6,6.7,12.8,0,,18.37,0.577,1.363,0.807,0.689,6.6
request-without-hold,"chat=True,hold=False",500,good,6.0,fading,1,0,30,30,457,457,0,0,0,4.6,11.2,5.9,5.1,11.9,2.7,7.2,0,,6.87,0.306,1.129,0.803,0.737,5.1
request-without-hold,"chat=True,hold=False",500,good,12.0,fading,1,0,30,30,457,457,0,0,0,3.0,5.1,3.1,3.0,5.1,1.6,4.2,0,,4.13,0.21,1.094,0.796,0.744,4.5
request-without-hold,"chat=True,hold=False",500,moderate,-12.0,fading,1,0,30,30,457,457,0,0,0,30.0,46.2,31.0,32.1,46.9,20.3,36.8,0,,35.97,0.757,1.02,0.81,0.694,6.1
request-without-hold,"chat=True,hold=False",500,moderate,-6.0,fading,1,0,30,30,457,457,0,0,0,22.5,34.3,21.9,22.5,35.2,10.7,20.3,0,,27.11,0.706,0.963,0.796,0.707,4.9
request-without-hold,"chat=True,hold=False",500,moderate,0.0,fading,1,0,30,30,457,457,0,0,0,17.0,29.8,17.4,17.8,30.7,8.1,15.6,0,,19.92,0.586,1.324,0.895,0.707,5.2
request-without-hold,"chat=True,hold=False",500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,5.1,11.4,6.1,5.5,11.6,3.2,6.2,0,,6.96,0.307,1.112,0.816,0.74,3.8
request-without-hold,"chat=True,hold=False",500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,3.0,5.1,3.0,3.0,5.1,1.1,4.2,0,,4.01,0.205,1.072,0.796,0.748,3.0
request-without-hold,"chat=True,hold=False",500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,27.9,44.8,29.3,29.9,45.2,20.3,36.3,0,,34.36,0.75,0.969,0.799,0.707,5.2
request-without-hold,"chat=True,hold=False",500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,21.2,34.0,21.3,22.5,34.5,9.8,20.3,0,,26.59,0.703,0.963,0.796,0.707,4.3
request-without-hold,"chat=True,hold=False",500,poor,0.0,fading,1,0,30,30,457,439,18,1,0,13.3,27.7,15.0,16.3,28.3,5.4,11.6,0,,16.02,0.53,1.311,0.919,0.689,4.5
request-without-hold,"chat=True,hold=False",500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,4.1,8.0,4.7,4.1,9.1,2.3,4.2,0,,5.54,0.262,1.079,0.821,0.751,3.3
request-without-hold,"chat=True,hold=False",500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,3.0,4.1,2.8,3.0,4.3,1.6,3.1,0,,3.84,0.199,1.07,0.799,0.746,2.1
base,,2300,good,-12.0,fading,1,100,100,100,1534,1527,7,1,0,40.9,66.1,42.8,43.9,69.1,26.8,47.6,0,,44.27,0.752,1.711,0.901,0.0,49.6
request,chat=True,2300,good,-12.0,fading,1,100,100,100,1534,1534,0,0,0,33.2,58.2,36.3,34.1,59.2,25.7,47.9,0,,41.71,0.792,0.978,0.886,0.62,45.1
request-without-hold,"chat=True,hold=False",2300,good,-12.0,fading,1,100,100,100,1534,1526,8,1,0,35.2,61.6,38.2,37.8,64.1,25.7,47.1,0,,42.95,0.789,1.276,0.9,0.613,46.2
request+keepalive20,"chat=True,keepalive_s=20.0",2300,good,-12.0,fading,1,100,100,100,1534,1498,36,4,0,33.2,59.3,36.4,35.0,62.0,22.1,44.4,0,,38.83,0.748,0.473,0.89,0.61,42.5
handover+request,"chat=True,handover=always",2300,good,-12.0,fading,1,100,100,100,1534,1373,161,24,0,29.2,53.4,32.1,27.6,51.4,36.7,59.2,0,,39.82,0.893,1.299,1.272,0.123,37.5
ordinary-handover+request,"chat=True,handover=ordinary",2300,good,-12.0,fading,1,100,100,100,1534,1534,0,0,0,33.2,58.2,36.3,34.1,59.2,25.7,47.9,0,,41.71,0.792,0.978,0.886,0.62,41.8
base,,2300,good,-6.0,fading,1,100,100,100,1534,1518,16,1,0,23.9,36.7,23.7,26.0,38.1,7.7,17.0,0,,25.2,0.635,1.292,0.788,0.0,29.2
request,chat=True,2300,good,-6.0,fading,1,100,100,100,1534,1534,0,0,0,17.1,28.3,18.1,17.2,30.9,6.6,16.1,0,,23.72,0.687,0.669,0.8,0.699,26.4
request-without-hold,"chat=True,hold=False",2300,good,-6.0,fading,1,100,100,100,1534,1534,0,0,0,17.2,32.4,19.8,20.2,33.8,7.2,16.1,0,,25.03,0.691,0.959,0.799,0.696,28.5
request+keepalive20,"chat=True,keepalive_s=20.0",2300,good,-6.0,fading,1,100,100,100,1534,1534,0,0,0,17.1,27.9,18.1,17.2,30.1,5.4,16.1,0,,21.21,0.615,0.298,0.802,0.678,25.1
handover+request,"chat=True,handover=always",2300,good,-6.0,fading,1,100,100,100,1534,1532,2,1,0,11.8,23.4,13.6,10.7,21.2,19.3,31.2,0,,24.5,0.815,1.138,1.177,0.15,26.0
ordinary-handover+request,"chat=True,handover=ordinary",2300,good,-6.0,fading,1,100,100,100,1534,1534,0,0,0,17.1,28.5,18.1,17.2,31.0,6.6,16.1,0,,23.73,0.687,0.666,0.804,0.697,27.3
base,,2300,good,0.0,fading,1,100,100,100,1534,1534,0,0,0,12.3,24.6,13.4,14.0,25.7,5.3,8.1,0,,12.44,0.418,1.696,0.797,0.0,27.0
request,chat=True,2300,good,0.0,fading,1,100,100,100,1534,1534,0,0,0,7.7,17.2,9.3,10.0,17.3,5.4,10.0,0,,12.05,0.469,1.007,0.806,0.722,24.7
request-without-hold,"chat=True,hold=False",2300,good,0.0,fading,1,100,100,100,1534,1534,0,0,0,8.2,19.7,10.1,11.0,22.3,5.3,9.8,0,,12.73,0.48,1.141,0.808,0.718,25.5
request+keepalive20,"chat=True,keepalive_s=20.0",2300,good,0.0,fading,1,100,100,100,1534,1534,0,0,0,8.2,17.2,9.4,10.1,17.2,5.3,8.4,0,,10.87,0.421,0.392,0.806,0.731,23.0
handover+request,"chat=True,handover=always",2300,good,0.0,fading,1,100,100,100,1534,1534,0,0,0,5.5,14.4,7.5,5.4,11.5,11.8,20.1,0,,14.67,0.613,1.505,1.194,0.181,24.9
ordinary-handover+request,"chat=True,handover=ordinary",2300,good,0.0,fading,1,100,100,100,1534,1531,3,1,0,8.4,17.2,9.6,8.6,17.2,7.7,18.1,0,,15.08,0.581,1.289,1.061,0.4,24.7
base,,2300,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,34.1,51.7,34.4,36.5,53.4,20.2,36.4,0,,36.11,0.71,1.308,0.8,0.0,29.9
request,chat=True,2300,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,27.9,42.8,28.6,27.9,44.0,18.6,36.4,0,,34.07,0.757,0.679,0.801,0.692,27.3
request-without-hold,"chat=True,hold=False",2300,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,28.9,45.9,30.6,31.0,47.9,20.3,36.4,0,,35.57,0.757,0.969,0.802,0.686,28.2
request+keepalive20,"chat=True,keepalive_s=20.0",2300,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,27.9,43.4,28.7,27.9,45.0,17.9,36.4,0,,31.75,0.703,0.299,0.797,0.679,25.5
handover+request,"chat=True,handover=always",2300,moderate,-12.0,fading,1,100,100,100,1534,1533,1,1,0,23.3,40.3,24.9,21.5,37.5,32.4,46.0,0,,35.64,0.863,1.144,1.189,0.145,27.2
ordinary-handover+request,"chat=True,handover=ordinary",2300,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,27.9,42.8,28.6,27.9,44.0,18.6,36.4,0,,34.07,0.757,0.679,0.801,0.692,27.0
base,,2300,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,21.7,30.3,20.7,23.3,31.2,5.5,14.9,0,,22.44,0.605,1.272,0.787,0.0,20.3
request,chat=True,2300,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,14.9,21.4,14.7,17.1,22.5,5.4,14.9,0,,20.37,0.655,0.638,0.787,0.701,18.0
request-without-hold,"chat=True,hold=False",2300,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,17.1,26.7,16.6,17.1,28.2,5.4,14.9,0,,21.79,0.661,0.937,0.788,0.701,18.8
request+keepalive20,"chat=True,keepalive_s=20.0",2300,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,14.9,22.3,14.9,17.1,22.5,5.4,14.9,0,,18.25,0.583,0.273,0.787,0.683,16.4
handover+request,"chat=True,handover=always",2300,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,10.7,19.8,11.6,9.3,17.4,17.2,24.8,0,,22.4,0.8,1.114,1.153,0.149,18.3
