engine,backend,bandwidth_hz,rate,link,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
after,sim,500,,,moderate,-6.0,average,fading,,2000,276.0,58.0,76.1,0.762,1,3,2,4,8,42,3,2,0,1,0.1
after,sim,500,,,moderate,-6.0,average,fading,,2000,281.3,56.9,76.1,0.747,1,3,2,4,8,43,4,0,0,1,0.1
after,sim,500,,,moderate,-6.0,average,fading,,2000,296.2,54.0,76.1,0.71,0,3,2,5,9,45,3,1,0,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,209.3,76.4,111.9,0.683,0,4,3,7,12,47,9,0,3,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,223.0,71.8,111.9,0.641,1,4,3,5,9,41,4,1,1,1,0.0
after,sim,500,,,moderate,0.0,average,fading,,2000,196.4,81.5,111.9,0.728,3,4,3,3,9,40,2,0,0,1,0.0
after,sim,500,,,moderate,0.0,average,fading,,2000,179.1,89.3,111.9,0.798,3,6,3,4,9,47,3,0,0,1,0.0
after,sim,500,,,moderate,0.0,average,fading,,2000,204.5,78.3,111.9,0.699,1,4,3,5,11,49,6,0,1,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,225.0,71.1,111.9,0.635,0,4,3,8,12,63,20,0,3,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,218.0,73.4,111.9,0.656,1,4,3,3,8,38,1,0,0,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,216.3,74.0,111.9,0.661,0,6,3,6,13,72,21,2,3,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,188.6,84.9,111.9,0.758,3,5,3,4,10,48,6,2,0,1,0.0
after,sim,500,,,moderate,0.0,average,fading,,2000,207.8,77.0,111.9,0.688,2,4,3,4,9,47,9,0,1,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,206.2,77.6,111.9,0.693,1,5,3,7,14,63,7,0,1,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,219.1,73.0,111.9,0.652,1,4,3,3,8,39,2,1,0,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,195.2,82.0,111.9,0.732,3,5,3,3,9,50,3,0,0,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,211.5,75.6,111.9,0.676,2,5,3,5,10,60,15,0,2,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,248.3,64.4,111.9,0.576,1,4,3,6,10,48,10,1,2,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,199.6,80.2,111.9,0.716,3,4,3,3,9,43,5,1,0,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,224.1,71.4,111.9,0.638,0,4,3,7,11,56,18,0,3,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,211.5,75.6,111.9,0.676,2,5,3,5,10,60,15,0,2,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,208.8,76.6,111.9,0.684,2,4,3,4,9,48,10,2,1,1,0.1
after,sim,500,,,moderate,0.0,average,fading,,2000,218.0,73.4,111.9,0.656,1,4,3,3,8,38,1,0,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,112.4,142.3,258.1,0.551,5,9,5,6,14,82,7,1,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,88.3,181.3,258.1,0.702,5,9,5,5,11,62,5,0,0,1,0.0
after,sim,500,,,moderate,6.0,average,fading,,2000,165.1,96.9,258.1,0.376,3,7,3,5,9,49,4,0,0,1,0.0
after,sim,500,,,moderate,6.0,average,fading,,2000,76.7,208.5,258.1,0.808,6,10,6,5,9,53,4,0,0,1,0.0
after,sim,500,,,moderate,6.0,average,fading,,2000,153.4,104.3,258.1,0.404,3,7,3,6,15,80,6,0,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,158.4,101.0,258.1,0.391,3,9,3,5,11,57,5,2,0,1,0.0
after,sim,500,,,moderate,6.0,average,fading,,2000,126.6,126.3,258.1,0.49,4,7,6,8,16,92,14,0,2,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,104.8,152.7,258.1,0.592,3,10,3,6,10,54,8,1,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,92.5,173.0,258.1,0.67,5,9,5,5,11,66,7,2,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,153.0,104.6,258.1,0.405,3,7,3,5,11,56,5,0,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,114.3,140.0,258.1,0.542,2,9,5,6,14,83,9,0,1,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,115.3,138.7,258.1,0.538,4,7,4,7,14,84,11,1,1,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,136.5,117.2,258.1,0.454,3,9,3,5,13,73,4,0,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,106.1,150.7,258.1,0.584,4,10,4,5,13,77,6,3,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,144.6,110.6,258.1,0.429,3,9,3,7,14,79,11,2,1,1,0.2
after,sim,500,,,moderate,6.0,average,fading,,2000,119.8,133.6,258.1,0.518,4,7,7,8,15,88,4,0,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,154.4,103.6,258.1,0.402,3,7,3,5,9,47,4,0,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,127.4,125.6,258.1,0.487,3,9,3,5,10,52,6,1,0,1,0.0
after,sim,500,,,moderate,6.0,average,fading,,2000,156.8,102.1,258.1,0.395,3,9,3,5,14,76,7,1,0,1,0.1
after,sim,500,,,moderate,6.0,average,fading,,2000,141.3,113.3,258.1,0.439,3,10,3,8,15,83,12,1,1,1,0.1
after,sim,500,,,moderate,12.0,average,fading,,2000,54.7,292.6,402.3,0.727,9,11,9,3,6,35,3,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,44.2,362.3,402.3,0.901,9,12,11,3,5,26,1,1,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,59.9,267.0,402.3,0.664,7,11,7,5,7,39,4,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,41.0,390.0,402.3,0.969,10,12,11,2,4,24,1,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,58.9,271.8,402.3,0.676,7,11,7,5,7,38,6,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,55.7,287.2,402.3,0.714,9,11,9,4,7,35,6,1,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,65.2,245.5,402.3,0.61,7,10,9,3,8,43,3,1,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,44.2,362.3,402.3,0.901,10,12,11,2,5,26,1,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,50.5,317.1,402.3,0.788,10,12,10,3,6,31,5,1,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,51.5,310.6,402.3,0.772,9,11,10,3,6,32,3,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,44.2,362.3,402.3,0.901,10,12,11,2,5,26,1,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,54.7,292.6,402.3,0.727,9,11,9,3,6,35,2,1,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,44.2,362.3,402.3,0.901,10,12,11,2,5,26,1,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,48.4,330.9,402.3,0.823,9,12,9,4,6,29,4,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,68.3,234.2,402.3,0.582,7,10,7,4,8,46,4,0,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,55.7,287.2,402.3,0.714,9,11,9,5,7,35,5,2,0,1,0.1
after,sim,500,,,moderate,12.0,average,fading,,2000,61.0,262.4,402.3,0.652,7,11,7,5,7,40,6,2,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,47.3,338.1,402.3,0.84,9,12,11,3,5,29,3,1,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,59.9,267.0,402.3,0.664,9,11,9,3,7,39,5,1,0,1,0.0
after,sim,500,,,moderate,12.0,average,fading,,2000,47.3,338.1,402.3,0.84,9,12,11,3,5,29,2,0,0,1,0.0
