frame,payload_bytes,net_bps,channel,snr_3k_db,frames,acquired,decoded,genie_decoded
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-18,20,1,0,0
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-17,20,5,0,0
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-16,20,3,0,0
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-15,20,11,1,1
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-14,20,9,4,6
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-13,20,18,18,19
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-12,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-11,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-10,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-9,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-8,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-7,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-6,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-5,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-4,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-3,20,19,19,20
mode 0 QPSK-1/10 floor-long,19,36.1,awgn,-2,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,good,-16,20,9,4,4
mode 0 QPSK-1/10 floor-long,19,36.1,good,-14,20,10,6,8
mode 0 QPSK-1/10 floor-long,19,36.1,good,-12,20,13,10,13
mode 0 QPSK-1/10 floor-long,19,36.1,good,-10,20,17,13,15
mode 0 QPSK-1/10 floor-long,19,36.1,good,-8,20,17,14,14
mode 0 QPSK-1/10 floor-long,19,36.1,good,-6,20,18,15,17
mode 0 QPSK-1/10 floor-long,19,36.1,good,-4,20,18,18,20
mode 0 QPSK-1/10 floor-long,19,36.1,good,-2,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,good,0,20,20,20,19
mode 0 QPSK-1/10 floor-long,19,36.1,good,2,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,good,4,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-16,20,2,0,2
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-14,20,13,1,2
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-12,20,11,7,7
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-10,20,15,12,14
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-8,20,15,15,18
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-6,20,14,14,20
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-4,20,20,20,20
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,-2,20,19,19,19
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,0,20,19,19,20
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,2,20,20,20,19
mode 0 QPSK-1/10 floor-long,19,36.1,moderate,4,20,20,20,18
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-16,20,7,0,0
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-14,20,6,2,2
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-12,20,15,12,10
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-10,20,18,17,17
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-8,20,16,16,18
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-6,20,17,17,17
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-4,20,16,16,20
mode 0 QPSK-1/10 floor-long,19,36.1,poor,-2,20,20,20,15
mode 0 QPSK-1/10 floor-long,19,36.1,poor,0,20,18,18,16
mode 0 QPSK-1/10 floor-long,19,36.1,poor,2,20,20,20,17
mode 0 QPSK-1/10 floor-long,19,36.1,poor,4,20,19,19,19
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-18,20,2,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-17,20,1,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-16,20,5,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-15,20,8,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-14,20,13,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-13,20,13,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-12,20,19,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-11,20,20,7,6
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-10,20,20,19,19
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-9,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-8,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-7,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-6,20,19,19,20
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-5,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-4,20,19,19,20
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-3,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,awgn,-2,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,good,-16,20,5,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,good,-14,20,8,3,4
mode 1 QPSK-1/5 floor-long,41,77.8,good,-12,20,8,4,4
mode 1 QPSK-1/5 floor-long,41,77.8,good,-10,20,15,5,4
mode 1 QPSK-1/5 floor-long,41,77.8,good,-8,20,16,10,10
mode 1 QPSK-1/5 floor-long,41,77.8,good,-6,20,16,14,14
mode 1 QPSK-1/5 floor-long,41,77.8,good,-4,20,20,19,19
mode 1 QPSK-1/5 floor-long,41,77.8,good,-2,20,20,19,19
mode 1 QPSK-1/5 floor-long,41,77.8,good,0,20,20,20,19
mode 1 QPSK-1/5 floor-long,41,77.8,good,2,20,20,20,19
mode 1 QPSK-1/5 floor-long,41,77.8,good,4,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-16,20,4,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-14,20,10,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-12,20,13,2,2
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-10,20,16,6,7
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-8,20,18,11,14
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-6,20,14,14,13
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-4,20,18,18,19
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,-2,20,14,14,18
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,0,20,19,19,19
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,2,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,moderate,4,20,20,20,20
mode 1 QPSK-1/5 floor-long,41,77.8,poor,-16,20,1,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,poor,-14,20,7,0,0
mode 1 QPSK-1/5 floor-long,41,77.8,poor,-12,20,13,0,0
